0,1,2,3,4,5,6,7,8,9,10
whole milk,butter,,,,,,,,,
whole milk,curd,rolls/buns,rolls/buns,,,,,,,
bottled beer,berries,,,,,,,,,
soda,seasonal products,,,,,,,,,
frozen meals,canned beer,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
mustard,domestic eggs,,,,,,,,,
beef,misc. beverages,,,,,,,,,
instant coffee,yogurt,other vegetables,,,,,,,,
pork,finished products,ice cream,shopping bags,rolls/buns,,,,,,
citrus fruit,brown bread,,,,,,,,,
pip fruit,butter,,,,,,,,,
curd,newspapers,,,,,,,,,
whole milk,frozen dessert,,,,,,,,,
pip fruit,dessert,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
pip fruit,butter,,,,,,,,,
citrus fruit,frankfurter,tropical fruit,napkins,,,,,,,
pastry,pasta,,,,,,,,,
jam,margarine,,,,,,,,,
sausage,citrus fruit,red/blush wine,frozen vegetables,cream,,,,,,
yogurt,frozen fish,chocolate,butter,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
spread cheese,specialty chocolate,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
pork,bottled beer,whole milk,margarine,,,,,,,
sausage,seasonal products,,,,,,,,,
yogurt,popcorn,,,,,,,,,
yogurt,chicken,soda,,,,,,,,
whole milk,domestic eggs,,,,,,,,,
detergent,cocoa drinks,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
UHT-milk,bottled beer,,,,,,,,,
other vegetables,cooking chocolate,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
cream cheese ,tropical fruit,bottled water,soda,specialty bar,,,,,,
pastry,seasonal products,butter,bottled beer,,,,,,,
zwieback,frozen dessert,shopping bags,cream cheese ,,,,,,,
hygiene articles,shopping bags,,,,,,,,,
dessert,other vegetables,whipped/sour cream,,,,,,,,
semi-finished bread,yogurt,,,,,,,,,
other vegetables,pip fruit,fruit/vegetable juice,,,,,,,,
sausage,root vegetables,bottled beer,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
berries,condensed milk,,,,,,,,,
curd,soda,,,,,,,,,
brown bread,UHT-milk,beef,red/blush wine,brown bread,rolls/buns,pickled vegetables,,,,
berries,napkins,cereals,,,,,,,,
long life bakery product,condensed milk,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
chocolate marshmallow,bottled water,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
sugar,spread cheese,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
tropical fruit,other vegetables,hamburger meat,popcorn,female sanitary products,,,,,,
whole milk,rolls/buns,,,,,,,,,
root vegetables,pastry,candles,,,,,,,,
yogurt,shopping bags,,,,,,,,,
margarine,margarine,,,,,,,,,
frozen dessert,rolls/buns,,,,,,,,,
canned beer,shopping bags,,,,,,,,,
butter,root vegetables,,,,,,,,,
meat,yogurt,soda,red/blush wine,,,,,,,
sausage,pip fruit,dish cleaner,,,,,,,,
curd,frozen meals,,,,,,,,,
beef,rolls/buns,,,,,,,,,
flour,pastry,,,,,,,,,
root vegetables,waffles,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
canned beer,beverages,specialty bar,other vegetables,make up remover,specialty chocolate,curd,,,,
beef,onions,,,,,,,,,
pip fruit,pip fruit,,,,,,,,,
specialty bar,misc. beverages,,,,,,,,,
candy,whole milk,,,,,,,,,
meat,whole milk,,,,,,,,,
soda,berries,,,,,,,,,
soda,beef,other vegetables,soda,flour,,,,,,
liquor (appetizer),soda,,,,,,,,,
curd,whole milk,bottled water,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
citrus fruit,white bread,,,,,,,,,
soda,brown bread,,,,,,,,,
rolls/buns,whole milk,soda,,,,,,,,
whole milk,onions,,,,,,,,,
citrus fruit,soda,butter,bottled water,bottled beer,,,,,,
tropical fruit,sugar,,,,,,,,,
frankfurter,butter,red/blush wine,,,,,,,,
root vegetables,flour,,,,,,,,,
sausage,whole milk,prosecco,honey,other vegetables,waffles,shopping bags,artif. sweetener,,,
whole milk,other vegetables,,,,,,,,,
bottled water,chocolate,,,,,,,,,
frankfurter,beef,red/blush wine,whole milk,frozen dessert,,,,,,
frankfurter,tropical fruit,,,,,,,,,
other vegetables,meat,,,,,,,,,
other vegetables,long life bakery product,pastry,,,,,,,,
other vegetables,margarine,,,,,,,,,
bottled water,bottled beer,,,,,,,,,
yogurt,yogurt,,,,,,,,,
frankfurter,chocolate,mayonnaise,oil,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
yogurt,whole milk,ham,citrus fruit,frozen vegetables,whole milk,,,,,
pip fruit,soda,,,,,,,,,
pork,cat food,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
canned beer,beef,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
coffee,rolls/buns,vinegar,,,,,,,,
whole milk,napkins,napkins,,,,,,,,
pastry,condensed milk,rice,tropical fruit,chocolate marshmallow,,,,,,
beef,mayonnaise,,,,,,,,,
whipped/sour cream,cake bar,,,,,,,,,
whole milk,brown bread,,,,,,,,,
bottled water,margarine,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
yogurt,dog food,semi-finished bread,napkins,,,,,,,
frozen dessert,beef,citrus fruit,root vegetables,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
hamburger meat,root vegetables,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
tropical fruit,soda,canned vegetables,,,,,,,,
soda,other vegetables,,,,,,,,,
tropical fruit,newspapers,specialty chocolate,margarine,,,,,,,
whole milk,rolls/buns,,,,,,,,,
beef,misc. beverages,,,,,,,,,
pastry,frozen fish,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
cat food,domestic eggs,,,,,,,,,
newspapers,chicken,pip fruit,,,,,,,,
pip fruit,soda,,,,,,,,,
sausage,dessert,,,,,,,,,
whole milk,cat food,,,,,,,,,
chocolate,other vegetables,,,,,,,,,
whole milk,canned beer,cat food,,,,,,,,
sausage,yogurt,,,,,,,,,
tropical fruit,bottled beer,other vegetables,meat,roll products ,,,,,,
pip fruit,white bread,margarine,baking powder,,,,,,,
sliced cheese,newspapers,dog food,fruit/vegetable juice,rolls/buns,butter,hygiene articles,yogurt,,,
UHT-milk,soda,,,,,,,,,
other vegetables,white bread,,,,,,,,,
whole milk,spread cheese,,,,,,,,,
specialty bar,rolls/buns,,,,,,,,,
frankfurter,waffles,,,,,,,,,
beverages,cat food,,,,,,,,,
detergent,whole milk,,,,,,,,,
beef,whole milk,chewing gum,,,,,,,,
pasta,sausage,rolls/buns,root vegetables,flower (seeds),,,,,,
yogurt,coffee,,,,,,,,,
pip fruit,meat,frozen vegetables,bottled water,,,,,,,
newspapers,bottled beer,domestic eggs,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
root vegetables,dessert,,,,,,,,,
whole milk,cat food,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
cream cheese ,fruit/vegetable juice,whole milk,shopping bags,,,,,,,
dessert,bottled water,,,,,,,,,
chicken,yogurt,,,,,,,,,
pip fruit,flower (seeds),,,,,,,,,
beef,candy,,,,,,,,,
whole milk,meat,,,,,,,,,
root vegetables,frozen dessert,beverages,,,,,,,,
hamburger meat,domestic eggs,,,,,,,,,
butter,specialty chocolate,frozen meals,,,,,,,,
bottled water,berries,,,,,,,,,
soda,soft cheese,,,,,,,,,
frozen meals,chocolate,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
root vegetables,sausage,brown bread,UHT-milk,sliced cheese,frozen vegetables,white bread,,,,
pip fruit,newspapers,fruit/vegetable juice,,,,,,,,
brown bread,processed cheese,,,,,,,,,
processed cheese,whole milk,,,,,,,,,
UHT-milk,herbs,newspapers,,,,,,,,
other vegetables,shopping bags,other vegetables,,,,,,,,
sausage,butter,,,,,,,,,
beverages,specialty fat,,,,,,,,,
pork,citrus fruit,,,,,,,,,
yogurt,whole milk,,,,,,,,,
hamburger meat,liquor (appetizer),liver loaf,dessert,,,,,,,
spread cheese,other vegetables,whole milk,,,,,,,,
frankfurter,sausage,brown bread,canned beer,,,,,,,
sausage,tropical fruit,bottled beer,fruit/vegetable juice,,,,,,,
salty snack,whole milk,softener,Instant food products,,,,,,,
soda,other vegetables,dishes,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
frankfurter,shopping bags,rolls/buns,,,,,,,,
frankfurter,beef,,,,,,,,,
pastry,whole milk,soda,Instant food products,,,,,,,
whole milk,detergent,,,,,,,,,
meat,rum,,,,,,,,,
abrasive cleaner,citrus fruit,whole milk,long life bakery product,,,,,,,
curd,soda,rolls/buns,,,,,,,,
rolls/buns,frozen vegetables,roll products ,,,,,,,,
domestic eggs,frozen vegetables,curd,,,,,,,,
root vegetables,ham,,,,,,,,,
liquor,hard cheese,,,,,,,,,
soda,artif. sweetener,cocoa drinks,bottled water,,,,,,,
packaged fruit/vegetables,specialty bar,whipped/sour cream,,,,,,,,
frankfurter,dessert,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
soda,sugar,,,,,,,,,
bottled water,citrus fruit,butter,whole milk,,,,,,,
sausage,root vegetables,soda,chocolate marshmallow,,,,,,,
zwieback,whole milk,domestic eggs,,,,,,,,
sausage,tropical fruit,pork,rolls/buns,,,,,,,
ham,whole milk,,,,,,,,,
citrus fruit,frankfurter,yogurt,ice cream,,,,,,,
whole milk,newspapers,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
domestic eggs,napkins,,,,,,,,,
ice cream,soda,,,,,,,,,
chicken,grapes,pot plants,curd cheese,coffee,napkins,,,,,
ham,tropical fruit,,,,,,,,,
berries,cake bar,,,,,,,,,
chicken,pip fruit,,,,,,,,,
frozen vegetables,misc. beverages,,,,,,,,,
meat,curd,,,,,,,,,
chicken,yogurt,rolls/buns,,,,,,,,
whipped/sour cream,baking powder,cat food,,,,,,,,
fruit/vegetable juice,cat food,zwieback,frozen dessert,,,,,,,
pip fruit,chocolate marshmallow,,,,,,,,,
margarine,soda,UHT-milk,,,,,,,,
tropical fruit,curd,,,,,,,,,
chicken,shopping bags,,,,,,,,,
whole milk,yogurt,domestic eggs,newspapers,,,,,,,
meat,other vegetables,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
soda,specialty chocolate,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
whole milk,whole milk,ham,pip fruit,hard cheese,frozen fish,shopping bags,pot plants,,,
beef,whole milk,frozen dessert,whipped/sour cream,,,,,,,
other vegetables,zwieback,,,,,,,,,
pip fruit,rolls/buns,yogurt,,,,,,,,
rolls/buns,frankfurter,oil,pip fruit,mayonnaise,,,,,,
sausage,curd,salty snack,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
bottled water,bottled water,,,,,,,,,
butter,fruit/vegetable juice,,,,,,,,,
whole milk,specialty fat,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
frozen dessert,hard cheese,,,,,,,,,
newspapers,waffles,salty snack,,,,,,,,
misc. beverages,tropical fruit,yogurt,specialty chocolate,,,,,,,
oil,brown bread,bottled beer,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
tropical fruit,whole milk,brown bread,pastry,,,,,,,
root vegetables,salty snack,,,,,,,,,
dog food,canned beer,,,,,,,,,
turkey,flour,,,,,,,,,
chicken,bottled beer,soda,domestic eggs,other vegetables,,,,,,
meat,frozen vegetables,other vegetables,,,,,,,,
pip fruit,butter,,,,,,,,,
grapes,other vegetables,domestic eggs,,,,,,,,
detergent,fruit/vegetable juice,,,,,,,,,
sausage,processed cheese,,,,,,,,,
whole milk,brown bread,root vegetables,roll products ,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
meat spreads,ketchup,,,,,,,,,
root vegetables,tropical fruit,other vegetables,processed cheese,,,,,,,
frankfurter,whole milk,,,,,,,,,
frankfurter,beef,meat,waffles,whole milk,curd,white bread,frozen meals,sugar,,
citrus fruit,yogurt,specialty bar,chocolate,,,,,,,
frozen meals,sausage,flour,curd,whipped/sour cream,,,,,,
soft cheese,bottled water,,,,,,,,,
curd,yogurt,,,,,,,,,
soda,rolls/buns,soda,,,,,,,,
margarine,cereals,,,,,,,,,
frankfurter,salty snack,dental care,,,,,,,,
sausage,bottled water,,,,,,,,,
frankfurter,beef,soda,rolls/buns,pastry,bottled water,ketchup,pastry,,,
soda,other vegetables,bottled water,white bread,frozen meals,onions,bottled beer,margarine,,,
pork,yogurt,soda,,,,,,,,
berries,mayonnaise,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
rolls/buns,dishes,,,,,,,,,
chicken,whole milk,soda,,,,,,,,
soda,root vegetables,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
white bread,domestic eggs,,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
UHT-milk,domestic eggs,,,,,,,,,
sausage,whole milk,,,,,,,,,
root vegetables,sliced cheese,shopping bags,sliced cheese,,,,,,,
frankfurter,whipped/sour cream,,,,,,,,,
whole milk,dog food,,,,,,,,,
other vegetables,dessert,other vegetables,fruit/vegetable juice,,,,,,,
soda,rice,sweet spreads,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
ice cream,pot plants,,,,,,,,,
UHT-milk,dessert,,,,,,,,,
chicken,chocolate,,,,,,,,,
whole milk,rolls/buns,canned fruit,onions,soda,,,,,,
sausage,rolls/buns,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
beef,soda,,,,,,,,,
root vegetables,margarine,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
pastry,kitchen towels,,,,,,,,,
whole milk,canned beer,newspapers,whipped/sour cream,,,,,,,
root vegetables,berries,,,,,,,,,
ham,canned fruit,,,,,,,,,
root vegetables,root vegetables,root vegetables,pastry,,,,,,,
pork,whole milk,,,,,,,,,
butter,tropical fruit,,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
instant coffee,butter,,,,,,,,,
other vegetables,cereals,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
soda,beef,bottled beer,soda,,,,,,,
sugar,shopping bags,instant coffee,,,,,,,,
beverages,specialty chocolate,,,,,,,,,
spices,soda,,,,,,,,,
dish cleaner,cling film/bags,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
berries,rolls/buns,,,,,,,,,
salty snack,rolls/buns,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
softener,salty snack,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
root vegetables,coffee,napkins,,,,,,,,
curd,other vegetables,,,,,,,,,
whipped/sour cream,coffee,shopping bags,,,,,,,,
citrus fruit,bottled water,butter milk,chocolate,zwieback,shopping bags,,,,,
citrus fruit,margarine,,,,,,,,,
pet care,pastry,red/blush wine,,,,,,,,
specialty bar,candy,root vegetables,ice cream,,,,,,,
pip fruit,yogurt,,,,,,,,,
pip fruit,cling film/bags,,,,,,,,,
napkins,canned vegetables,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
fruit/vegetable juice,waffles,tropical fruit,domestic eggs,liquor (appetizer),dessert,,,,,
canned beer,coffee,,,,,,,,,
liquor,yogurt,napkins,,,,,,,,
ham,Instant food products,,,,,,,,,
sausage,grapes,light bulbs,,,,,,,,
beverages,bottled water,,,,,,,,,
citrus fruit,canned beer,rolls/buns,whole milk,,,,,,,
frozen vegetables,flower (seeds),,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
butter,chewing gum,coffee,salty snack,,,,,,,
curd,grapes,soups,whole milk,,,,,,,
photo/film,white wine,other vegetables,brown bread,canned fish,margarine,sliced cheese,,,,
white bread,spread cheese,,,,,,,,,
beef,oil,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
bottled beer,bottled beer,,,,,,,,,
pastry,soda,,,,,,,,,
whole milk,newspapers,,,,,,,,,
mustard,whipped/sour cream,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
yogurt,pastry,bottled water,,,,,,,,
tropical fruit,dish cleaner,bottled water,,,,,,,,
root vegetables,zwieback,,,,,,,,,
other vegetables,root vegetables,pastry,margarine,,,,,,,
sausage,grapes,berries,curd,,,,,,,
other vegetables,butter,red/blush wine,,,,,,,,
soda,bottled water,house keeping products,,,,,,,,
other vegetables,yogurt,,,,,,,,,
specialty cheese,beverages,,,,,,,,,
pastry,bottled water,candles,,,,,,,,
sausage,root vegetables,canned beer,rolls/buns,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
curd,other vegetables,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
dessert,fruit/vegetable juice,napkins,,,,,,,,
tropical fruit,soda,,,,,,,,,
root vegetables,salt,,,,,,,,,
flower soil/fertilizer,rolls/buns,,,,,,,,,
soda,butter,,,,,,,,,
citrus fruit,roll products ,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
beef,curd,,,,,,,,,
other vegetables,whole milk,soda,,,,,,,,
domestic eggs,chewing gum,,,,,,,,,
butter,bottled beer,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
pip fruit,brandy,,,,,,,,,
red/blush wine,berries,,,,,,,,,
hard cheese,soda,,,,,,,,,
citrus fruit,syrup,,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
pastry,bottled water,,,,,,,,,
herbs,newspapers,brown bread,,,,,,,,
citrus fruit,margarine,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
other vegetables,butter,,,,,,,,,
other vegetables,butter,,,,,,,,,
pork,nuts/prunes,rolls/buns,,,,,,,,
beef,long life bakery product,,,,,,,,,
sausage,beef,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
white bread,mayonnaise,,,,,,,,,
sausage,long life bakery product,beef,other vegetables,margarine,,,,,,
other vegetables,soft cheese,,,,,,,,,
tropical fruit,berries,mayonnaise,,,,,,,,
dessert,long life bakery product,berries,sausage,grapes,frozen meals,candy,soda,,,
grapes,yogurt,hygiene articles,,,,,,,,
chicken,pip fruit,,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
beef,sugar,,,,,,,,,
salty snack,butter milk,,,,,,,,,
white bread,pickled vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,liver loaf,,,,,,,,,
ham,yogurt,,,,,,,,,
coffee,curd cheese,,,,,,,,,
beef,hamburger meat,newspapers,rum,meat spreads,whipped/sour cream,,,,,
misc. beverages,whole milk,,,,,,,,,
frankfurter,cream cheese ,,,,,,,,,
pip fruit,shopping bags,butter,,,,,,,,
brown bread,newspapers,,,,,,,,,
grapes,butter,newspapers,pip fruit,,,,,,,
bottled water,domestic eggs,,,,,,,,,
waffles,yogurt,,,,,,,,,
rolls/buns,whole milk,napkins,fruit/vegetable juice,mustard,,,,,,
pip fruit,tropical fruit,,,,,,,,,
whole milk,margarine,rolls/buns,,,,,,,,
yogurt,whole milk,yogurt,chewing gum,,,,,,,
soda,red/blush wine,,,,,,,,,
sugar,bottled beer,,,,,,,,,
